commodity,year,attribute,value,unit,reference_period
CORN,2025/26,Feed and Residual,6100.0,Million Bushels,2025-12-15
CORN,2025/26,Feed and Residual,6200.0,Million Bushels,2026-01-15
CORN,2025/26,Feed and Residual,6200.0,Million Bushels,2026-02-15
CORN,2025/26,Feed and Residual,6200.0,Million Bushels,2026-03-15
CORN,2025/26,Feed and Residual,6200.0,Million Bushels,2026-04-15
CORN,2025/26,Feed and Residual,6200.0,Million Bushels,2026-05-15
CORN,2025/26,Feed and Residual,6200.0,Million Bushels,2026-06-15
CORN,2025/26,Feed and Residual,6350.0,Million Bushels,2026-07-15
CORN,2025/26,"Food, Seed & Industrial",6885.0,Million Bushels,2025-07-15
CORN,2025/26,"Food, Seed & Industrial",6980.0,Million Bushels,2025-08-15
CORN,2025/26,"Food, Seed & Industrial",6980.0,Million Bushels,2025-09-15
CORN,2025/26,"Food, Seed & Industrial",6980.0,Million Bushels,2025-10-15
CORN,2025/26,"Food, Seed & Industrial",6980.0,Million Bushels,2025-11-15
CORN,2025/26,"Food, Seed & Industrial",6980.0,Million Bushels,2025-12-15
CORN,2025/26,"Food, Seed & Industrial",6970.0,Million Bushels,2026-01-15
CORN,2025/26,"Food, Seed & Industrial",6970.0,Million Bushels,2026-02-15
CORN,2025/26,"Food, Seed & Industrial",6970.0,Million Bushels,2026-03-15
CORN,2025/26,"Food, Seed & Industrial",6970.0,Million Bushels,2026-04-15
CORN,2025/26,"Food, Seed & Industrial",6955.0,Million Bushels,2026-05-15
CORN,2025/26,"Food, Seed & Industrial",6930.0,Million Bushels,2026-06-15
CORN,2025/26,"Food, Seed & Industrial",6905.0,Million Bushels,2026-07-15
CORN,2025/26,Imports,25.0,Million Bushels,2025-07-15
CORN,2025/26,Imports,25.0,Million Bushels,2025-08-15
CORN,2025/26,Imports,25.0,Million Bushels,2025-09-15
CORN,2025/26,Imports,25.0,Million Bushels,2025-10-15
CORN,2025/26,Imports,25.0,Million Bushels,2025-11-15
CORN,2025/26,Imports,25.0,Million Bushels,2025-12-15
CORN,2025/26,Imports,25.0,Million Bushels,2026-01-15
CORN,2025/26,Imports,25.0,Million Bushels,2026-02-15
CORN,2025/26,Imports,25.0,Million Bushels,2026-03-15
CORN,2025/26,Imports,25.0,Million Bushels,2026-04-15
CORN,2025/26,Imports,25.0,Million Bushels,2026-05-15
CORN,2025/26,Imports,28.0,Million Bushels,2026-06-15
CORN,2025/26,Imports,28.0,Million Bushels,2026-07-15
CORN,2025/26,Production,15705.0,Million Bushels,2025-07-15
CORN,2025/26,Production,16742.0,Million Bushels,2025-08-15
CORN,2025/26,Production,16814.0,Million Bushels,2025-09-15
CORN,2025/26,Production,16814.0,Million Bushels,2025-10-15
CORN,2025/26,Production,16752.0,Million Bushels,2025-11-15
CORN,2025/26,Production,16752.0,Million Bushels,2025-12-15
CORN,2025/26,Production,17021.0,Million Bushels,2026-01-15
CORN,2025/26,Production,17021.0,Million Bushels,2026-02-15
CORN,2025/26,Production,17021.0,Million Bushels,2026-03-15
CORN,2025/26,Production,17021.0,Million Bushels,2026-04-15
CORN,2025/26,Production,17021.0,Million Bushels,2026-05-15
CORN,2025/26,Production,17021.0,Million Bushels,2026-06-15
CORN,2025/26,Production,17021.0,Million Bushels,2026-07-15
CORN,2025/26,"Supply, Total",17070.0,Million Bushels,2025-07-15
CORN,2025/26,"Supply, Total",18072.0,Million Bushels,2025-08-15
CORN,2025/26,"Supply, Total",18165.0,Million Bushels,2025-09-15
CORN,2025/26,"Supply, Total",18165.0,Million Bushels,2025-10-15
CORN,2025/26,"Supply, Total",18309.0,Million Bushels,2025-11-15
CORN,2025/26,"Supply, Total",18309.0,Million Bushels,2025-12-15
CORN,2025/26,"Supply, Total",18597.0,Million Bushels,2026-01-15
CORN,2025/26,"Supply, Total",18597.0,Million Bushels,2026-02-15
CORN,2025/26,"Supply, Total",18597.0,Million Bushels,2026-03-15
CORN,2025/26,"Supply, Total",18597.0,Million Bushels,2026-04-15
CORN,2025/26,"Supply, Total",18597.0,Million Bushels,2026-05-15
CORN,2025/26,"Supply, Total",18600.0,Million Bushels,2026-06-15
CORN,2025/26,"Supply, Total",18600.0,Million Bushels,2026-07-15
CORN,2025/26,"Use, Total",15410.0,Million Bushels,2025-07-15
CORN,2025/26,"Use, Total",15955.0,Million Bushels,2025-08-15
CORN,2025/26,"Use, Total",16055.0,Million Bushels,2025-09-15
CORN,2025/26,"Use, Total",16055.0,Million Bushels,2025-10-15
CORN,2025/26,"Use, Total",16155.0,Million Bushels,2025-11-15
CORN,2025/26,"Use, Total",16280.0,Million Bushels,2025-12-15
CORN,2025/26,"Use, Total",16370.0,Million Bushels,2026-01-15
CORN,2025/26,"Use, Total",16470.0,Million Bushels,2026-02-15
CORN,2025/26,"Use, Total",16470.0,Million Bushels,2026-03-15
CORN,2025/26,"Use, Total",16470.0,Million Bushels,2026-04-15
CORN,2025/26,"Use, Total",16455.0,Million Bushels,2026-05-15
CORN,2025/26,"Use, Total",16455.0,Million Bushels,2026-06-15
CORN,2025/26,"Use, Total",16580.0,Million Bushels,2026-07-15
CORN,2025/26,Yield per Harvested Acre,188.8,Bushels,2025-08-15
CORN,2025/26,Yield per Harvested Acre,186.7,Bushels,2025-09-15
CORN,2025/26,Yield per Harvested Acre,186.7,Bushels,2025-10-15
CORN,2025/26,Yield per Harvested Acre,186.0,Bushels,2025-11-15
CORN,2025/26,Yield per Harvested Acre,186.0,Bushels,2025-12-15
CORN,2025/26,Yield per Harvested Acre,186.5,Bushels,2026-01-15
CORN,2025/26,Yield per Harvested Acre,186.5,Bushels,2026-02-15
CORN,2025/26,Yield per Harvested Acre,186.5,Bushels,2026-03-15
CORN,2025/26,Yield per Harvested Acre,186.5,Bushels,2026-04-15
CORN,2025/26,Yield per Harvested Acre,186.5,Bushels,2026-05-15
CORN,2025/26,Yield per Harvested Acre,186.5,Bushels,2026-06-15
CORN,2025/26,Yield per Harvested Acre,186.5,Bushels,2026-07-15
CORN,2026/27,Avg. Farm Price ($/bu),4.4,$/bu,2026-05-15
CORN,2026/27,Avg. Farm Price ($/bu),4.4,$/bu,2026-06-15
CORN,2026/27,Avg. Farm Price ($/bu),4.4,$/bu,2026-07-15
CORN,2026/27,Beginning Stocks,2142.0,Million Bushels,2026-05-15
CORN,2026/27,Beginning Stocks,2145.0,Million Bushels,2026-06-15
CORN,2026/27,Beginning Stocks,2020.0,Million Bushels,2026-07-15
CORN,2026/27,"Domestic, Total",13055.0,Million Bushels,2026-05-15
CORN,2026/27,"Domestic, Total",13055.0,Million Bushels,2026-06-15
CORN,2026/27,"Domestic, Total",13055.0,Million Bushels,2026-07-15
CORN,2026/27,Ending Stocks,1957.0,Million Bushels,2026-05-15
CORN,2026/27,Ending Stocks,1960.0,Million Bushels,2026-06-15
CORN,2026/27,Ending Stocks,1790.0,Million Bushels,2026-07-15
CORN,2026/27,Ethanol & by-products,5600.0,Million Bushels,2026-05-15
CORN,2026/27,Ethanol & by-products,5600.0,Million Bushels,2026-06-15
CORN,2026/27,Ethanol & by-products,5600.0,Million Bushels,2026-07-15
CORN,2026/27,Exports,3150.0,Million Bushels,2026-05-15
CORN,2026/27,Exports,3150.0,Million Bushels,2026-06-15
CORN,2026/27,Exports,3200.0,Million Bushels,2026-07-15
CORN,2026/27,Feed and Residual,6100.0,Million Bushels,2026-05-15
CORN,2026/27,Feed and Residual,6100.0,Million Bushels,2026-06-15
CORN,2026/27,Feed and Residual,6100.0,Million Bushels,2026-07-15
CORN,2026/27,"Food, Seed & Industrial",6955.0,Million Bushels,2026-05-15
CORN,2026/27,"Food, Seed & Industrial",6955.0,Million Bushels,2026-06-15
CORN,2026/27,"Food, Seed & Industrial",6955.0,Million Bushels,2026-07-15
CORN,2026/27,Imports,25.0,Million Bushels,2026-05-15
CORN,2026/27,Imports,25.0,Million Bushels,2026-06-15
CORN,2026/27,Imports,25.0,Million Bushels,2026-07-15
CORN,2026/27,Production,15995.0,Million Bushels,2026-05-15
CORN,2026/27,Production,15995.0,Million Bushels,2026-06-15
CORN,2026/27,Production,16000.0,Million Bushels,2026-07-15
CORN,2026/27,"Supply, Total",18162.0,Million Bushels,2026-05-15
CORN,2026/27,"Supply, Total",18165.0,Million Bushels,2026-06-15
CORN,2026/27,"Supply, Total",18045.0,Million Bushels,2026-07-15
CORN,2026/27,"Use, Total",16205.0,Million Bushels,2026-05-15
CORN,2026/27,"Use, Total",16205.0,Million Bushels,2026-06-15
CORN,2026/27,"Use, Total",16255.0,Million Bushels,2026-07-15
COTTON,2023/24,Avg. Farm Price,76.1,,2025-08-15
COTTON,2023/24,Avg. Farm Price,76.1,,2025-09-15
COTTON,2023/24,Avg. Farm Price,76.1,,2025-11-15
COTTON,2023/24,Avg. Farm Price,76.1,,2025-12-15
COTTON,2023/24,Avg. Farm Price,76.1,,2026-01-15
COTTON,2023/24,Avg. Farm Price,76.1,,2026-02-15
COTTON,2023/24,Avg. Farm Price,76.1,,2026-03-15
COTTON,2023/24,Avg. Farm Price,76.1,,2026-04-15
COTTON,2023/24,Beginning Stocks,4.65,Million 480 Pound Bales,2025-08-15
COTTON,2023/24,Beginning Stocks,4.65,Million 480 Pound Bales,2025-09-15
COTTON,2023/24,Beginning Stocks,4.65,Million 480 Pound Bales,2025-11-15
COTTON,2023/24,Beginning Stocks,4.65,Million 480 Pound Bales,2025-12-15
COTTON,2023/24,Beginning Stocks,4.65,Million 480 Pound Bales,2026-01-15
COTTON,2023/24,Beginning Stocks,4.65,Million 480 Pound Bales,2026-02-15
COTTON,2023/24,Beginning Stocks,4.65,Million 480 Pound Bales,2026-03-15
COTTON,2023/24,Beginning Stocks,4.65,Million 480 Pound Bales,2026-04-15
COTTON,2023/24,Domestic Use,1.85,Million 480 Pound Bales,2025-08-15
COTTON,2023/24,Domestic Use,1.85,Million 480 Pound Bales,2025-09-15
COTTON,2023/24,Domestic Use,1.85,Million 480 Pound Bales,2025-11-15
COTTON,2023/24,Domestic Use,1.85,Million 480 Pound Bales,2025-12-15
COTTON,2023/24,Domestic Use,1.85,Million 480 Pound Bales,2026-01-15
COTTON,2023/24,Domestic Use,1.85,Million 480 Pound Bales,2026-02-15
COTTON,2023/24,Domestic Use,1.85,Million 480 Pound Bales,2026-03-15
COTTON,2023/24,Domestic Use,1.85,Million 480 Pound Bales,2026-04-15
COTTON,2023/24,Ending Stocks,3.15,Million 480 Pound Bales,2025-08-15
COTTON,2023/24,Ending Stocks,3.15,Million 480 Pound Bales,2025-09-15
COTTON,2023/24,Ending Stocks,3.15,Million 480 Pound Bales,2025-11-15
COTTON,2023/24,Ending Stocks,3.15,Million 480 Pound Bales,2025-12-15
COTTON,2023/24,Ending Stocks,3.15,Million 480 Pound Bales,2026-01-15
COTTON,2023/24,Ending Stocks,3.15,Million 480 Pound Bales,2026-02-15
COTTON,2023/24,Ending Stocks,3.15,Million 480 Pound Bales,2026-03-15
COTTON,2023/24,Ending Stocks,3.15,Million 480 Pound Bales,2026-04-15
COTTON,2023/24,"Exports, Total",11.75,Million 480 Pound Bales,2025-08-15
COTTON,2023/24,"Exports, Total",11.75,Million 480 Pound Bales,2025-09-15
COTTON,2023/24,"Exports, Total",11.75,Million 480 Pound Bales,2025-11-15
COTTON,2023/24,"Exports, Total",11.75,Million 480 Pound Bales,2025-12-15
COTTON,2023/24,"Exports, Total",11.75,Million 480 Pound Bales,2026-01-15
COTTON,2023/24,"Exports, Total",11.75,Million 480 Pound Bales,2026-02-15
COTTON,2023/24,"Exports, Total",11.75,Million 480 Pound Bales,2026-03-15
COTTON,2023/24,"Exports, Total",11.75,Million 480 Pound Bales,2026-04-15
COTTON,2023/24,Harvested,6.44,Million Acres,2025-08-15
COTTON,2023/24,Harvested,6.44,Million Acres,2025-09-15
COTTON,2023/24,Harvested,6.44,Million Acres,2025-11-15
COTTON,2023/24,Harvested,6.44,Million Acres,2025-12-15
COTTON,2023/24,Harvested,6.44,Million Acres,2026-01-15
COTTON,2023/24,Harvested,6.44,Million Acres,2026-02-15
COTTON,2023/24,Harvested,6.44,Million Acres,2026-03-15
COTTON,2023/24,Harvested,6.44,Million Acres,2026-04-15
COTTON,2023/24,Imports,0.0,Million 480 Pound Bales,2025-08-15
COTTON,2023/24,Imports,0.0,Million 480 Pound Bales,2025-09-15
COTTON,2023/24,Imports,0.0,Million 480 Pound Bales,2025-11-15
COTTON,2023/24,Imports,0.0,Million 480 Pound Bales,2025-12-15
COTTON,2023/24,Imports,0.0,Million 480 Pound Bales,2026-01-15
COTTON,2023/24,Imports,0.0,Million 480 Pound Bales,2026-02-15
COTTON,2023/24,Imports,0.0,Million 480 Pound Bales,2026-03-15
COTTON,2023/24,Imports,0.0,Million 480 Pound Bales,2026-04-15
COTTON,2023/24,Planted,10.23,Million Acres,2025-08-15
COTTON,2023/24,Planted,10.23,Million Acres,2025-09-15
COTTON,2023/24,Planted,10.23,Million Acres,2025-11-15
COTTON,2023/24,Planted,10.23,Million Acres,2025-12-15
COTTON,2023/24,Planted,10.23,Million Acres,2026-01-15
COTTON,2023/24,Planted,10.23,Million Acres,2026-02-15
COTTON,2023/24,Planted,10.23,Million Acres,2026-03-15
COTTON,2023/24,Planted,10.23,Million Acres,2026-04-15
COTTON,2023/24,Production,12.07,Million 480 Pound Bales,2025-08-15
COTTON,2023/24,Production,12.07,Million 480 Pound Bales,2025-09-15
COTTON,2023/24,Production,12.07,Million 480 Pound Bales,2025-11-15
COTTON,2023/24,Production,12.07,Million 480 Pound Bales,2025-12-15
COTTON,2023/24,Production,12.07,Million 480 Pound Bales,2026-01-15
COTTON,2023/24,Production,12.07,Million 480 Pound Bales,2026-02-15
COTTON,2023/24,Production,12.07,Million 480 Pound Bales,2026-03-15
COTTON,2023/24,Production,12.07,Million 480 Pound Bales,2026-04-15
COTTON,2023/24,"Supply, Total",16.72,Million 480 Pound Bales,2025-08-15
COTTON,2023/24,"Supply, Total",16.72,Million 480 Pound Bales,2025-09-15
COTTON,2023/24,"Supply, Total",16.72,Million 480 Pound Bales,2025-11-15
COTTON,2023/24,"Supply, Total",16.72,Million 480 Pound Bales,2025-12-15
COTTON,2023/24,"Supply, Total",16.72,Million 480 Pound Bales,2026-01-15
COTTON,2023/24,"Supply, Total",16.72,Million 480 Pound Bales,2026-02-15
COTTON,2023/24,"Supply, Total",16.72,Million 480 Pound Bales,2026-03-15
COTTON,2023/24,"Supply, Total",16.72,Million 480 Pound Bales,2026-04-15
COTTON,2023/24,Unaccounted,-0.03,Million 480 Pound Bales,2025-08-15
COTTON,2023/24,Unaccounted,-0.03,Million 480 Pound Bales,2025-09-15
COTTON,2023/24,Unaccounted,-0.03,Million 480 Pound Bales,2025-11-15
COTTON,2023/24,Unaccounted,-0.03,Million 480 Pound Bales,2025-12-15
COTTON,2023/24,Unaccounted,-0.03,Million 480 Pound Bales,2026-01-15
COTTON,2023/24,Unaccounted,-0.03,Million 480 Pound Bales,2026-02-15
COTTON,2023/24,Unaccounted,-0.03,Million 480 Pound Bales,2026-03-15
COTTON,2023/24,Unaccounted,-0.03,Million 480 Pound Bales,2026-04-15
COTTON,2023/24,"Use, Total",13.6,Million 480 Pound Bales,2025-08-15
COTTON,2023/24,"Use, Total",13.6,Million 480 Pound Bales,2025-09-15
COTTON,2023/24,"Use, Total",13.6,Million 480 Pound Bales,2025-11-15
COTTON,2023/24,"Use, Total",13.6,Million 480 Pound Bales,2025-12-15
COTTON,2023/24,"Use, Total",13.6,Million 480 Pound Bales,2026-01-15
COTTON,2023/24,"Use, Total",13.6,Million 480 Pound Bales,2026-02-15
COTTON,2023/24,"Use, Total",13.6,Million 480 Pound Bales,2026-03-15
COTTON,2023/24,"Use, Total",13.6,Million 480 Pound Bales,2026-04-15
COTTON,2023/24,Yield per Harvested Acre,899.0,Pounds,2025-08-15
COTTON,2023/24,Yield per Harvested Acre,899.0,Pounds,2025-09-15
COTTON,2023/24,Yield per Harvested Acre,899.0,Pounds,2025-11-15
COTTON,2023/24,Yield per Harvested Acre,899.0,Pounds,2025-12-15
COTTON,2023/24,Yield per Harvested Acre,899.0,Pounds,2026-01-15
COTTON,2023/24,Yield per Harvested Acre,899.0,Pounds,2026-02-15
COTTON,2023/24,Yield per Harvested Acre,899.0,Pounds,2026-03-15
COTTON,2023/24,Yield per Harvested Acre,899.0,Pounds,2026-04-15
COTTON,2024/25,Avg. Farm Price,63.0,,2025-08-15
COTTON,2024/25,Avg. Farm Price,63.0,,2025-09-15
COTTON,2024/25,Avg. Farm Price,63.0,,2025-11-15
COTTON,2024/25,Avg. Farm Price,63.0,,2025-12-15
COTTON,2024/25,Avg. Farm Price,63.0,,2026-01-15
COTTON,2024/25,Avg. Farm Price,63.0,,2026-02-15
COTTON,2024/25,Avg. Farm Price,63.2,,2026-03-15
COTTON,2024/25,Avg. Farm Price,63.2,,2026-04-15
COTTON,2024/25,Avg. Farm Price,63.2,,2026-05-15
COTTON,2024/25,Avg. Farm Price,63.2,,2026-06-15
COTTON,2024/25,Avg. Farm Price,63.2,,2026-07-15
COTTON,2024/25,Beginning Stocks,3.15,Million 480 Pound Bales,2025-08-15
COTTON,2024/25,Beginning Stocks,3.15,Million 480 Pound Bales,2025-09-15
COTTON,2024/25,Beginning Stocks,3.15,Million 480 Pound Bales,2025-11-15
COTTON,2024/25,Beginning Stocks,3.15,Million 480 Pound Bales,2025-12-15
COTTON,2024/25,Beginning Stocks,3.15,Million 480 Pound Bales,2026-01-15
COTTON,2024/25,Beginning Stocks,3.15,Million 480 Pound Bales,2026-02-15
COTTON,2024/25,Beginning Stocks,3.15,Million 480 Pound Bales,2026-03-15
COTTON,2024/25,Beginning Stocks,3.15,Million 480 Pound Bales,2026-04-15
COTTON,2024/25,Beginning Stocks,3.15,Million 480 Pound Bales,2026-05-15
COTTON,2024/25,Beginning Stocks,3.15,Million 480 Pound Bales,2026-06-15
COTTON,2024/25,Beginning Stocks,3.15,Million 480 Pound Bales,2026-07-15
COTTON,2024/25,Domestic Use,1.7,Million 480 Pound Bales,2025-08-15
COTTON,2024/25,Domestic Use,1.7,Million 480 Pound Bales,2025-09-15
COTTON,2024/25,Domestic Use,1.7,Million 480 Pound Bales,2025-11-15
COTTON,2024/25,Domestic Use,1.7,Million 480 Pound Bales,2025-12-15
COTTON,2024/25,Domestic Use,1.7,Million 480 Pound Bales,2026-01-15
COTTON,2024/25,Domestic Use,1.7,Million 480 Pound Bales,2026-02-15
COTTON,2024/25,Domestic Use,1.7,Million 480 Pound Bales,2026-03-15
COTTON,2024/25,Domestic Use,1.7,Million 480 Pound Bales,2026-04-15
COTTON,2024/25,Domestic Use,1.7,Million 480 Pound Bales,2026-05-15
COTTON,2024/25,Domestic Use,1.7,Million 480 Pound Bales,2026-06-15
COTTON,2024/25,Domestic Use,1.7,Million 480 Pound Bales,2026-07-15
COTTON,2024/25,Ending Stocks,4.0,Million 480 Pound Bales,2025-08-15
COTTON,2024/25,Ending Stocks,4.0,Million 480 Pound Bales,2025-09-15
COTTON,2024/25,Ending Stocks,4.0,Million 480 Pound Bales,2025-11-15
COTTON,2024/25,Ending Stocks,4.0,Million 480 Pound Bales,2025-12-15
COTTON,2024/25,Ending Stocks,4.0,Million 480 Pound Bales,2026-01-15
COTTON,2024/25,Ending Stocks,4.0,Million 480 Pound Bales,2026-02-15
COTTON,2024/25,Ending Stocks,4.0,Million 480 Pound Bales,2026-03-15
COTTON,2024/25,Ending Stocks,4.0,Million 480 Pound Bales,2026-04-15
COTTON,2024/25,Ending Stocks,4.0,Million 480 Pound Bales,2026-05-15
COTTON,2024/25,Ending Stocks,4.0,Million 480 Pound Bales,2026-06-15
COTTON,2024/25,Ending Stocks,4.0,Million 480 Pound Bales,2026-07-15
COTTON,2024/25,"Exports, Total",11.9,Million 480 Pound Bales,2025-08-15
COTTON,2024/25,"Exports, Total",11.9,Million 480 Pound Bales,2025-09-15
COTTON,2024/25,"Exports, Total",11.9,Million 480 Pound Bales,2025-11-15
COTTON,2024/25,"Exports, Total",11.9,Million 480 Pound Bales,2025-12-15
COTTON,2024/25,"Exports, Total",11.9,Million 480 Pound Bales,2026-01-15
COTTON,2024/25,"Exports, Total",11.9,Million 480 Pound Bales,2026-02-15
COTTON,2024/25,"Exports, Total",11.9,Million 480 Pound Bales,2026-03-15
COTTON,2024/25,"Exports, Total",11.9,Million 480 Pound Bales,2026-04-15
COTTON,2024/25,"Exports, Total",11.9,Million 480 Pound Bales,2026-05-15
COTTON,2024/25,"Exports, Total",11.9,Million 480 Pound Bales,2026-06-15
COTTON,2024/25,"Exports, Total",11.9,Million 480 Pound Bales,2026-07-15
COTTON,2024/25,Harvested,7.81,Million Acres,2025-08-15
COTTON,2024/25,Harvested,7.81,Million Acres,2025-09-15
COTTON,2024/25,Harvested,7.81,Million Acres,2025-11-15
COTTON,2024/25,Harvested,7.81,Million Acres,2025-12-15
COTTON,2024/25,Harvested,7.81,Million Acres,2026-01-15
COTTON,2024/25,Harvested,7.81,Million Acres,2026-02-15
COTTON,2024/25,Harvested,7.81,Million Acres,2026-03-15
COTTON,2024/25,Harvested,7.81,Million Acres,2026-04-15
COTTON,2024/25,Harvested,7.76,Million Acres,2026-05-15
COTTON,2024/25,Harvested,7.76,Million Acres,2026-06-15
COTTON,2024/25,Harvested,7.76,Million Acres,2026-07-15
COTTON,2024/25,Imports,0.0,Million 480 Pound Bales,2025-08-15
COTTON,2024/25,Imports,0.0,Million 480 Pound Bales,2025-09-15
COTTON,2024/25,Imports,0.0,Million 480 Pound Bales,2025-11-15
COTTON,2024/25,Imports,0.0,Million 480 Pound Bales,2025-12-15
COTTON,2024/25,Imports,0.0,Million 480 Pound Bales,2026-01-15
COTTON,2024/25,Imports,0.0,Million 480 Pound Bales,2026-02-15
COTTON,2024/25,Imports,0.0,Million 480 Pound Bales,2026-03-15
COTTON,2024/25,Imports,0.0,Million 480 Pound Bales,2026-04-15
COTTON,2024/25,Imports,0.0,Million 480 Pound Bales,2026-05-15
COTTON,2024/25,Imports,0.0,Million 480 Pound Bales,2026-06-15
COTTON,2024/25,Imports,0.0,Million 480 Pound Bales,2026-07-15
COTTON,2024/25,Planted,11.18,Million Acres,2025-08-15
COTTON,2024/25,Planted,11.18,Million Acres,2025-09-15
COTTON,2024/25,Planted,11.18,Million Acres,2025-11-15
COTTON,2024/25,Planted,11.18,Million Acres,2025-12-15
COTTON,2024/25,Planted,11.18,Million Acres,2026-01-15
COTTON,2024/25,Planted,11.18,Million Acres,2026-02-15
COTTON,2024/25,Planted,11.18,Million Acres,2026-03-15
COTTON,2024/25,Planted,11.18,Million Acres,2026-04-15
COTTON,2024/25,Planted,11.18,Million Acres,2026-05-15
COTTON,2024/25,Planted,11.18,Million Acres,2026-06-15
COTTON,2024/25,Planted,11.18,Million Acres,2026-07-15
COTTON,2024/25,Production,14.41,Million 480 Pound Bales,2025-08-15
COTTON,2024/25,Production,14.41,Million 480 Pound Bales,2025-09-15
COTTON,2024/25,Production,14.41,Million 480 Pound Bales,2025-11-15
COTTON,2024/25,Production,14.41,Million 480 Pound Bales,2025-12-15
COTTON,2024/25,Production,14.41,Million 480 Pound Bales,2026-01-15
COTTON,2024/25,Production,14.41,Million 480 Pound Bales,2026-02-15
COTTON,2024/25,Production,14.41,Million 480 Pound Bales,2026-03-15
COTTON,2024/25,Production,14.41,Million 480 Pound Bales,2026-04-15
COTTON,2024/25,Production,14.41,Million 480 Pound Bales,2026-05-15
COTTON,2024/25,Production,14.41,Million 480 Pound Bales,2026-06-15
COTTON,2024/25,Production,14.41,Million 480 Pound Bales,2026-07-15
COTTON,2024/25,"Supply, Total",17.57,Million 480 Pound Bales,2025-08-15
COTTON,2024/25,"Supply, Total",17.57,Million 480 Pound Bales,2025-09-15
COTTON,2024/25,"Supply, Total",17.57,Million 480 Pound Bales,2025-11-15
COTTON,2024/25,"Supply, Total",17.57,Million 480 Pound Bales,2025-12-15
COTTON,2024/25,"Supply, Total",17.57,Million 480 Pound Bales,2026-01-15
COTTON,2024/25,"Supply, Total",17.57,Million 480 Pound Bales,2026-02-15
COTTON,2024/25,"Supply, Total",17.57,Million 480 Pound Bales,2026-03-15
COTTON,2024/25,"Supply, Total",17.57,Million 480 Pound Bales,2026-04-15
COTTON,2024/25,"Supply, Total",17.56,Million 480 Pound Bales,2026-05-15
COTTON,2024/25,"Supply, Total",17.56,Million 480 Pound Bales,2026-06-15
COTTON,2024/25,"Supply, Total",17.56,Million 480 Pound Bales,2026-07-15
COTTON,2024/25,Unaccounted,-0.03,Million 480 Pound Bales,2025-08-15
COTTON,2024/25,Unaccounted,-0.03,Million 480 Pound Bales,2025-09-15
COTTON,2024/25,Unaccounted,-0.03,Million 480 Pound Bales,2025-11-15
COTTON,2024/25,Unaccounted,-0.03,Million 480 Pound Bales,2025-12-15
COTTON,2024/25,Unaccounted,-0.03,Million 480 Pound Bales,2026-01-15
COTTON,2024/25,Unaccounted,-0.03,Million 480 Pound Bales,2026-02-15
COTTON,2024/25,Unaccounted,-0.03,Million 480 Pound Bales,2026-03-15
COTTON,2024/25,Unaccounted,-0.03,Million 480 Pound Bales,2026-04-15
COTTON,2024/25,Unaccounted,-0.04,Million 480 Pound Bales,2026-05-15
COTTON,2024/25,Unaccounted,-0.04,Million 480 Pound Bales,2026-06-15
COTTON,2024/25,Unaccounted,-0.04,Million 480 Pound Bales,2026-07-15
COTTON,2024/25,"Use, Total",13.6,Million 480 Pound Bales,2025-08-15
COTTON,2024/25,"Use, Total",13.6,Million 480 Pound Bales,2025-09-15
COTTON,2024/25,"Use, Total",13.6,Million 480 Pound Bales,2025-11-15
COTTON,2024/25,"Use, Total",13.6,Million 480 Pound Bales,2025-12-15
COTTON,2024/25,"Use, Total",13.6,Million 480 Pound Bales,2026-01-15
COTTON,2024/25,"Use, Total",13.6,Million 480 Pound Bales,2026-02-15
COTTON,2024/25,"Use, Total",13.6,Million 480 Pound Bales,2026-03-15
COTTON,2024/25,"Use, Total",13.6,Million 480 Pound Bales,2026-04-15
COTTON,2024/25,"Use, Total",13.6,Million 480 Pound Bales,2026-05-15
COTTON,2024/25,"Use, Total",13.6,Million 480 Pound Bales,2026-06-15
COTTON,2024/25,"Use, Total",13.6,Million 480 Pound Bales,2026-07-15
COTTON,2024/25,Yield per Harvested Acre,886.0,Pounds,2025-08-15
COTTON,2024/25,Yield per Harvested Acre,886.0,Pounds,2025-09-15
COTTON,2024/25,Yield per Harvested Acre,886.0,Pounds,2025-11-15
COTTON,2024/25,Yield per Harvested Acre,886.0,Pounds,2025-12-15
COTTON,2024/25,Yield per Harvested Acre,886.0,Pounds,2026-01-15
COTTON,2024/25,Yield per Harvested Acre,886.0,Pounds,2026-02-15
COTTON,2024/25,Yield per Harvested Acre,886.0,Pounds,2026-03-15
COTTON,2024/25,Yield per Harvested Acre,886.0,Pounds,2026-04-15
COTTON,2024/25,Yield per Harvested Acre,892.0,Pounds,2026-05-15
COTTON,2024/25,Yield per Harvested Acre,892.0,Pounds,2026-06-15
COTTON,2024/25,Yield per Harvested Acre,892.0,Pounds,2026-07-15
COTTON,2025/26,Avg. Farm Price,62.0,,2025-07-15
COTTON,2025/26,Avg. Farm Price,64.0,,2025-08-15
COTTON,2025/26,Avg. Farm Price,64.0,,2025-09-15
COTTON,2025/26,Avg. Farm Price,64.0,,2025-10-15
COTTON,2025/26,Avg. Farm Price,62.0,,2025-11-15
COTTON,2025/26,Avg. Farm Price,60.0,,2025-12-15
COTTON,2025/26,Avg. Farm Price,61.0,,2026-01-15
COTTON,2025/26,Avg. Farm Price,60.0,,2026-02-15
COTTON,2025/26,Avg. Farm Price,60.0,,2026-03-15
COTTON,2025/26,Avg. Farm Price,61.0,,2026-04-15
